Feedback,Sentiment,Category,Priority
not good..the timing is too much for labs and syllabus is also so vast.we don't get propr revision,Negative,Lab Work,Low
satisfactory.,Positive,Lab Work,Low
i hate it,Negative,Lab Work,Low
Practical work is in interesting but different teachers evaluate in their own way. Some of the teachers in some section  give marks without taking viva and some does not give marks accordingly ,Negative,Lab Work,Low
as per the lab evaluation we r satisfied with  it,Positive,Lab Work,Low
lab and practical work are litial good,Positive,Lab Work,Low
not very good... must be improved.,Negative,Lab Work,Low
bad,Negative,Lab Work,Medium
With the help of practicals students are able to understand all the concept.so it is also good.,Positive,Lab Work,Low
GOOD,Positive,Lab Work,Low
LAB IS VERY GOOD,Positive,Lab Work,Low
not good...... must be improve,Negative,Lab Work,Low
Lab evaluations are good.,Positive,Lab Work,Low
it was good but it can be improved,Neutral,Lab Work,Low
"most of the teacher don't even bother about the practical performed by students.They give marks just by seeing face or something like that.
",Negative,Lab Work,Low
good  but marks are not given properly ,Negative,Lab Work,Low
Excellent,Positive,Lab Work,Low
practicals are good but evaluations are not because they don't give enough time to work ,Neutral,Lab Work,Low
They are conducted in proper way.,Positive,Lab Work,Low
Teachers are supposed to let the students know the actual use of the instruments used in the lab.,Neutral,Lab Work,Low
excellent ...they  work hard..their way of teaching is also pretty good,Positive,Lab Work,Low
average 3.5/5,Neutral,Lab Work,Low
"In labs,the lecturers has to interact with each student to improve their knowledge, in all the ways,before giving us the work they must explain about the experiment once so that we will come to know how to perform n take precautions while doing,........
",Neutral,Lab Work,Low
ok,Positive,Lab Work,Low
its fine.,Positive,Lab Work,Low
More number of lab/practicals should be there to enhance practical knowledge.,Negative,Lab Work,Low
Here we r able to do every thing by our own with u r valuable support ,Positive,Lab Work,Low
pretty good,Positive,Lab Work,Low
Very Good,Positive,Lab Work,Low
There are no sufficient lab equipments in the labs and the avilable euipments are also not perfect.,Negative,Lab Work,Low
it is good leaning in lab but the lab instruments are not properly working,Neutral,Lab Work,Low
very bad,Positive,Lab Work,Medium
labs are very interesting it is helpful to know the knowledge,Positive,Lab Work,Low
According to me students are doing lab only for marks .,Negative,Lab Work,Low
lab practical work help us to learn the things properly and evalution is also very necessary as it helps us to retain concepts,Positive,Lab Work,Low
Lab or practical work is excellent and yes including evaluations also.,Positive,Lab Work,Low
lab is very much helpful,Positive,Lab Work,Low
in lab also they are showing parilaty,Negative,Lab Work,Low
Lab evaluations are very strict,Negative,Lab Work,Low
the lab evaluations are very strict ,Negative,Lab Work,Low
labs n practicals are good.,Positive,Lab Work,Low
practicals are pretty well.,Positive,Lab Work,Low
There is good evaluations in lab regarding practicle ,Positive,Lab Work,Low
Very good,Positive,Lab Work,Low
Its Good,Positive,Lab Work,Low
lab and practical works are good..with a little draw back of faculty in connecting  the lab practical to the outside  world..,Neutral,Lab Work,Low
I like it soo much,Positive,Lab Work,Low
Lab is good the Prof explains everything before the lab begins and the Lab Asst helps us during the experiments ,Positive,Lab Work,Low
very strcitly they evaluted marks ,Negative,Lab Work,Low
Good enough,Positive,Lab Work,Low
nice..enough,Positive,Lab Work,Low
labs are interesting and helpful toknoe the knowledge,Positive,Lab Work,Low
NOT GOOD ...,Negative,Lab Work,Low
Labs helps to know how the work is done.It thought me a good lessons.,Positive,Lab Work,Low
IT IS GOOD,Positive,Lab Work,Low
all labs and practical going on well,Positive,Lab Work,Low
not bad,Positive,Lab Work,Medium
Labs are upto the mark.,Positive,Lab Work,Low
Our labs do not have all facalities. ,Negative,Lab Work,Low
ALL PRACTICAL WORK IS GOOD,Positive,Lab Work,Low
library facilities are good but number of books are less,Neutral,Library Facilities,Low
Not good ,Negative,Library Facilities,Low
Library facilities are excellent in terms of good techniques that are used over there.,Positive,Library Facilities,Low
"Its the best thing i have seen in this university,albeit the behaviour of library staff is unprofessional at times. They are whimsically rude.",Neutral,Library Facilities,Low
library has huge collection of books from different authors,Positive,Library Facilities,Low
Yes,Positive,Library Facilities,Low
Hardworking,Positive,Library Facilities,Low
I am satisfied with the facilities but few books are limited of  database distribution ,Neutral,Library Facilities,Low
Its required some libral in rules,Negative,Library Facilities,Low
Good,Positive,Library Facilities,Low
good library facilities,Positive,Library Facilities,Low
Library facilities are very good. No issues ,Positive,Library Facilities,Medium
Excellent,Positive,Library Facilities,Low
Again some of the faculties don't know how to behave otherwise it is good.,Neutral,Library Facilities,Low
Descent.,Positive,Library Facilities,Low
library is very well managed and provide needed facilities to us,Positive,Library Facilities,Low
They are doing there job well,Positive,Library Facilities,Low
"Well... all the books are not avilable . If they are in library , books are in less number and strength of student are large.",Negative,Library Facilities,Low
all books are not available,Negative,Library Facilities,Low
the system in library usually does not work . so it creates a problem for us to issue the book,Negative,Library Facilities,High
"Sometimes only book is available for some subjects
And it is reserved",Negative,Library Facilities,Low
Its very helpful,Positive,Library Facilities,Low
"Awesome, peaceful, relaxing atmosphere",Positive,Library Facilities,Low
All books are not available,Negative,Library Facilities,Low
I think number of books are very less according to the students .Only 2-3 copies are available.,Negative,Library Facilities,Low
good,Positive,Library Facilities,Low
Thats good,Positive,Library Facilities,Low
I think stock is not enough more books are required. ,Negative,Library Facilities,Low
very cooperative ,Positive,Library Facilities,Low
Nice,Positive,Library Facilities,Low
Satisfactory,Positive,Library Facilities,Low
Fine ,Positive,Library Facilities,Low
Fine,Positive,Library Facilities,Low
library facilities provided are excellent,Positive,Library Facilities,Low
good facilities,Positive,Library Facilities,Low
average,Neutral,Library Facilities,Low
better,Positive,Library Facilities,Low
excellent,Positive,Library Facilities,Low
some books are not available. So please provide,Negative,Library Facilities,Low
there are doing there job good,Positive,Library Facilities,Low
all are hardworking and punctual,Positive,Library Facilities,Low
library is awesome and rich,Positive,Library Facilities,Low
they are good,Positive,Library Facilities,Low
library facility is good,Positive,Library Facilities,Low
library facilities are good for students.,Positive,Library Facilities,Low
very good library facilities. Issuing time of book must be increased,Positive,Library Facilities,Low
more books should be provided and the issue period should be increased,Negative,Library Facilities,Medium
never went there,Neutral,Library Facilities,Low
book issuing time should be increased for 2 weeks,Negative,Library Facilities,Low
Really our library provides very good facilites for students and teachers but fine  system was not good it was directly increased upto 10.This is not a good thing.,Neutral,Library Facilities,Low
Its good and proper design,Positive,Library Facilities,Low
average,Positive,Library Facilities,Low
library contains all the books regarding courses and other materials and very cooperative library staff,Positive,Library Facilities,Low
all the books are easily available and accessable and the limit of book issued need to be increased,Positive,Library Facilities,Medium
all are good,Positive,Library Facilities,Low
library facilities are good . Every book is available in the library,Positive,Library Facilities,Low
"as per libraries, few books are not available and in computer library there are hardly 5 PCs working",Negative,Library Facilities,Low
books are less,Negative,Library Facilities,Low
good.,Positive,Library Facilities,Low
i love it,Positive,Library Facilities,Low
i think library facilities are only for hostelers ,Negative,Library Facilities,Low
Capacity of library is less compared to size of university.,Negative,Library Facilities,Low
library has providing excellent facilities,Positive,Library Facilities,Low
It will provide us various books to increase our knowledge or to understand the  concept because it is good,Positive,Library Facilities,Low
duration of issuing   books from library should be changed from 1week to 2 week that would be great.,Negative,Library Facilities,Low
absolutely fine all books are there but the thing is that the time limit is very less we have to return the book that we have issued  very fast,Negative,Library Facilities,Medium
i dont think about ,Neutral,Library Facilities,Low
very good,Neutral,Library Facilities,Low
very good.,Positive,Library Facilities,Low
very good,Positive,Library Facilities,Low
It is excellent.,Positive,Library Facilities,Low
GOOD,Positive,Library Facilities,Low
good ,Positive,Library Facilities,Low
library facilities need to be improve by bringing some more books,Negative,Library Facilities,Low
EXELLENT,Positive,Library Facilities,Low
Library facilities are the strength of this university. It is awesome.,Positive,Library Facilities,Low
Almost each and every books is there.But the time limit for keeping book is too much shorted. ,Neutral,Library Facilities,Low
"waste ,library is not the good place to study",Negative,Library Facilities,Low
It's good but we don't find the books because their are much less number of books,Neutral,Library Facilities,Low
perfect,Positive,Library Facilities,Low
They are good.,Positive,Library Facilities,Low
it is very nice and timings of library is good 5/5,Positive,Library Facilities,Low
"good but there is more need of keeping books of general topics about social,polity,gk,...etc other than related to subject so that we will get some knowledge about country related issues..............",Neutral,Library Facilities,Medium
Books are heavily outnumbered when compared to number of students this is the only problem with library.,Neutral,Library Facilities,High
Insufficient books ,Negative,Library Facilities,Medium
"I have no words to say about our library facilities,,,,,,,, SIMPLY AWESOME",Positive,Library Facilities,Low
good but timings should be 24hrs,Neutral,Library Facilities,Low
insufficient books,Negative,Library Facilities,Medium
"Library facility is very good but there is a problem collection of books, Available books are very less for some subjects  
",Neutral,Library Facilities,High
good enough.,Positive,Library Facilities,Low
rough handling,Negative,Library Facilities,Low
books are not available,Negative,Library Facilities,Low
librery facilities are excellent,Positive,Library Facilities,Low
Very rough handling,Negative,Library Facilities,Low
library facilites are good,Positive,Library Facilities,Low
yeah quite well but ... some of the books are not available,Neutral,Library Facilities,Low
library facilities is good,Positive,Library Facilities,Low
library facilty is good,Positive,Library Facilities,Low
super,Positive,Library Facilities,Low
"Library facilities are good, it maintains silence there and makes good environment to study but sometimes it goes very strict which is not required according to me.",Positive,Library Facilities,Low
uncertain,Neutral,Library Facilities,Low
I like reading books in Library,Positive,Library Facilities,Low
i felt its better because there is no problem from library facilities,Positive,Library Facilities,High
Average,Neutral,Library Facilities,Low
Excellent     but sometimes lack of books especially during exam times,Neutral,Library Facilities,Medium
libary is giving a lot to us  but we are not getting it,Neutral,Library Facilities,Low
"i've never went to library in lpu.so,i don't know about that.",Neutral,Library Facilities,Low
I don't know abt that bcoz i didn't go to library till now.,Neutral,Library Facilities,Low
facilities are good to overcome one's need,Positive,Library Facilities,Low
Required text books are not available to every student,Negative,Library Facilities,Low
Its good,Positive,Library Facilities,Low
library facilities are excellent...but only limited books are available ..so books should be increased.,Neutral,Library Facilities,Low
The library has insufficent number of books for all the students,Negative,Library Facilities,Low
very good there we can find several course books and we can find several reference books also...,Positive,Library Facilities,Low
"Library is vast and has got wide variety of books But I think more number of specimen copies of books should be made available
",Neutral,Library Facilities,Low
fine  ,Positive,Library Facilities,Low
VERY NICE....BUT BOOKS ARE NOT AVAILABE EVERY TIME,Neutral,Library Facilities,Low
IT IS ALSO GOOD,Positive,Library Facilities,Low
good ,Neutral,Library Facilities,Low
library facilities are not good.They are not following the rules( they are using phones in library).,Negative,Library Facilities,Low
They are good,Positive,Library Facilities,Low
We have a good library with all facalities.,Positive,Library Facilities,Low
"THEY IS NO PROBLEM WITH THEM
",Negative,Library Facilities,High
extracurricular activities are excellent and provides best platform to students.,Positive,Extra Curricular,Low
Good ,Positive,Extra Curricular,Low
Extra curricular activities also help students to divert their mind from their study for some time. University plays an important role in this task.,Positive,Extra Curricular,Low
Complete wastage of time. Again this opinion is strictly personal and may not coincide with others.,Negative,Extra Curricular,Low
extracurricular activities increases mental and physical abilities,Positive,Extra Curricular,Low
Yes,Positive,Extra Curricular,Low
No views,Neutral,Extra Curricular,Low
No idea about the extracurricular activities. ,Neutral,Extra Curricular,Low
Good it provides a great platform,Positive,Extra Curricular,Low
While coming to extracurriculum activities it's better than any other university which I had come around.,Positive,Extra Curricular,Low
Awesome,Positive,Extra Curricular,Low
ok,Positive,Extra Curricular,Low
This university is no1 in terms of extracurricular activities and in encouraging students to participate at their comfort levels. ,Positive,Extra Curricular,Low
Good,Positive,Extra Curricular,Low
Great job,Positive,Extra Curricular,Low
excellent,Positive,Extra Curricular,Low
Its give various opportunities and exposure,Positive,Extra Curricular,Low
This is really a good thing that events happen in our university regularly but they must be announced early so that every student can prepare themselves for participation because sometimes we get to know about most of the events when they have already been conducted. So announcement must be there.,Neutral,Extra Curricular,Low
Good.,Positive,Extra Curricular,Low
extracurricular activities held in university are necessary it provides student a platform where they can improve and groom them.,Positive,Extra Curricular,Low
They are really very intersting. All the students enjoys alot and get a chance to showcase there talent,Positive,Extra Curricular,Low
its good for refreshment ,Positive,Extra Curricular,Low
"It's appreciable
Students who are having interest in co curricular activities, getting a good platform",Positive,Extra Curricular,Low
All good,Positive,Extra Curricular,Low
Good but lacks audience.....as only participants can see these activities on duty leave basis,Neutral,Extra Curricular,Medium
Perfect,Positive,Extra Curricular,Low
All the activities are gud and appropriate for students,Positive,Extra Curricular,Low
very good,Positive,Extra Curricular,Low
"Thats good but the problm is whenever in university the functions like one india, one world are held we are not alowed to go because we have to attend the classes and if we miss the classes we will gona loose the attendence and everyone knows in lpu attendnce is very important. 
Thanx",Neutral,Extra Curricular,Low
Chance to go and enjoy should be given.I think it should be off when any activity like One India is there to go and enjoy.Otherwise everything is good. ,Negative,Extra Curricular,Low
extracurricular activies should be held when there are no classes for the students to attend so that every student can enjoy and participate in the events,Negative,Extra Curricular,Low
they are amazing and help to boost our stamina.,Positive,Extra Curricular,Low
increasing confidence,Positive,Extra Curricular,Low
average,Neutral,Extra Curricular,Low
best,Positive,Extra Curricular,Low
good,Positive,Extra Curricular,Low
extracurricular activities are good.,Positive,Extra Curricular,Low
"good it is, but teachers do not consider the new ones.",Neutral,Extra Curricular,Low
it is good,Positive,Extra Curricular,Low
extracurrcular activities held in university is good.,Positive,Extra Curricular,Low
"super, the extracurricular activities held in university. So that student can show the efforts in other fields.",Positive,Extra Curricular,Low
good and ample number of extracurricular activities take place,Positive,Extra Curricular,Low
they are good but they should give exposure to more students and not the same.,Neutral,Extra Curricular,Low
I donot participate,Neutral,Extra Curricular,Low
all are enough,Positive,Extra Curricular,Low
all activities are good,Positive,Extra Curricular,Low
More than best,Positive,Extra Curricular,Low
Its upto mark and very efficiently held in our university,Positive,Extra Curricular,Low
provides good platform to interested students,Positive,Extra Curricular,Low
no comments. Because when you participiate you get reappear or backlog and no time is given for exam preparation,Negative,Extra Curricular,Low
"the activities are very good but no time is given to students for participation, so its of no use",Negative,Extra Curricular,Low
lot of activities and students get exposure in games.,Positive,Extra Curricular,Low
too many activities are conducted and student get ample amount of opportunities to participate,Positive,Extra Curricular,Low
they are going excellent,Positive,Extra Curricular,Low
not much interested,Neutral,Extra Curricular,Low
Excellent,Positive,Extra Curricular,Low
bcoz of lectures..we don't get time to participate..,Negative,Extra Curricular,Low
Average,Neutral,Extra Curricular,Low
good.,Positive,Extra Curricular,Low
"i also want to participate in that activities but i can't take part in those activities because I'm a day scholar 
",Negative,Extra Curricular,Low
Extracurricular activities are good and provide a  good platform.,Positive,Extra Curricular,Low
It is good ,Positive,Extra Curricular,Low
that's  great,Positive,Extra Curricular,Low
hahahah,Neutral,Extra Curricular,Low
very good it is a good oppurtunities to many students,Positive,Extra Curricular,Low
there are many oppertunities for students .. its all upon students about how they utilize them.,Positive,Extra Curricular,Low
"good
",Positive,Extra Curricular,Low
It is excellent.,Positive,Extra Curricular,Low
Poor,Neutral,Extra Curricular,Medium
some of the universities not conducted any extracurricular activities but in our university doing these it is good for our feature ,Positive,Extra Curricular,Low
IT IS VERY MUCH USEFUL AND WE CAN PARTICIPATE IN OUR INTERESTS,Positive,Extra Curricular,Low
excelent,Positive,Extra Curricular,Low
Quite a lot of events are organized and students have a all round growth which is a nice thing.,Positive,Extra Curricular,Low
Activities are not up to the mark as  advertisement.,Negative,Extra Curricular,Low
very well,Positive,Extra Curricular,Low
Excellent ,Positive,Extra Curricular,Low
It's good but we don't get sufficient time for participating in that activities,Neutral,Extra Curricular,Low
unbiased,Positive,Extra Curricular,Low
LPU gives the best opportunity for the students to show their talent.,Positive,Extra Curricular,Low
these are very usefull to students .excellent,Positive,Extra Curricular,Low
"there are lot of extracurricular activites held in university but so many of them are unknown to us ,the problem is there is no such ad's viewed to us
my rating is 3/5",Neutral,Extra Curricular,High
these are very use full to the sudents forphysical activity and improvement of knowledge,Positive,Extra Curricular,Low
Sometimes study burden is that much that we can not participate in these activities ...there should b one activity complusory for every student like all other courses ,Negative,Extra Curricular,Low
it helps in building up university's reputation.,Positive,Extra Curricular,Low
It was quite great and unique.,Positive,Extra Curricular,Low
EXTRAORDINARY,Positive,Extra Curricular,Low
they are good,Positive,Extra Curricular,Low
it was quite great and unique,Positive,Extra Curricular,Low
Very good,Positive,Extra Curricular,Low
"it is relly awesome,extirdinary and marvellous but no time to attend",Positive,Extra Curricular,Low
nice,Positive,Extra Curricular,Low
that is only good in this university,Positive,Extra Curricular,Low
excellent..... u r the best in providing facilties and etc .. for extra curricular activities,Positive,Extra Curricular,Low
extracurricular activities are also good,Positive,Extra Curricular,Low
university offers alkot of activities which is excellent on their part as students are able to explore themselves,Positive,Extra Curricular,Low
super,Positive,Extra Curricular,Low
Extracurricular activities are good. It helps people to know their talent and build up their skills.,Positive,Extra Curricular,Low
I am really enjoying ,Positive,Extra Curricular,Low
i felt happy because it encourages our talents,Positive,Extra Curricular,Low
Outstanding,Positive,Extra Curricular,Low
better,Positive,Extra Curricular,Low
excellent  simply superb,Positive,Extra Curricular,Low
"before coming to lpu i thought sports were very good n encouraging.but, there are many politics in sports especially in cricket.",Negative,Extra Curricular,Low
not every one is getting opportunities here only recommended students getting.,Negative,Extra Curricular,Low
it seems to me very good since it is a good source of interaction with other and to built a leadership quilities and to overcome our faults.,Positive,Extra Curricular,Low
They are sportive,Positive,Extra Curricular,Low
One of the best things I like about this university. The best of all.,Positive,Extra Curricular,Low
They are extraordinary,Positive,Extra Curricular,Low
extra curricular are so good. university is providing many pathways to many students....apart from education,Positive,Extra Curricular,Low
good they are knowledgebale and helps us interacting with other students,Positive,Extra Curricular,Low
in this university there is lot of events and lot of extra curriclar activities.... ,Positive,Extra Curricular,Low
The best,Positive,Extra Curricular,Low
good..,Positive,Extra Curricular,Low
excllent,Positive,Extra Curricular,Low
VERY HIGH......NEED TO TAKE DOWN SOME ACCITIVTIES ................................NOISE POLLITION IN THE UNIVERSITY  ALWAYS A BIG PROBLEM.,Negative,Extra Curricular,High
Yes.,Positive,Extra Curricular,Low
VERY GOOD,Positive,Extra Curricular,Low
they all are held in super,Positive,Extra Curricular,Low
the extracurricular activities held in university  are very enjoyable and good,Positive,Extra Curricular,Low
Our university has lot of extracurricular going on and it helps us a lot.,Positive,Extra Curricular,Low
IT IS THE BEST THING IN THIS UNIVERSITY I LIKE IT,Positive,Extra Curricular,Low
