Feedback,Sentiment,Category
nice..enough,Positive,Lab Work
labs are interesting and helpful toknoe the knowledge,Positive,Lab Work
NOT GOOD ...,Negative,Lab Work
Labs helps to know how the work is done.It thought me a good lessons.,Positive,Lab Work
IT IS GOOD,Positive,Lab Work
all labs and practical going on well,Positive,Lab Work
not bad,Positive,Lab Work
Labs are upto the mark.,Positive,Lab Work
Our labs do not have all facalities. ,Negative,Lab Work
ALL PRACTICAL WORK IS GOOD,Positive,Lab Work
library facilities are good but number of books are less,Neutral,Library Facilities
Not good ,Negative,Library Facilities
Library facilities are excellent in terms of good techniques that are used over there.,Positive,Library Facilities
"Its the best thing i have seen in this university,albeit the behaviour of library staff is unprofessional at times. They are whimsically rude.",Neutral,Library Facilities
library has huge collection of books from different authors,Positive,Library Facilities
Yes,Positive,Library Facilities
Hardworking,Positive,Library Facilities
I am satisfied with the facilities but few books are limited of  database distribution ,Neutral,Library Facilities
Its required some libral in rules,Negative,Library Facilities
Good,Positive,Library Facilities
good library facilities,Positive,Library Facilities
Library facilities are very good. No issues ,Positive,Library Facilities
Excellent,Positive,Library Facilities
Again some of the faculties don't know how to behave otherwise it is good.,Neutral,Library Facilities
Descent.,Positive,Library Facilities
library is very well managed and provide needed facilities to us,Positive,Library Facilities
They are doing there job well,Positive,Library Facilities
"Well... all the books are not avilable . If they are in library , books are in less number and strength of student are large.",Negative,Library Facilities
all books are not available,Negative,Library Facilities
the system in library usually does not work . so it creates a problem for us to issue the book,Negative,Library Facilities
"Sometimes only book is available for some subjects
And it is reserved",Negative,Library Facilities
Its very helpful,Positive,Library Facilities
"Awesome, peaceful, relaxing atmosphere",Positive,Library Facilities
All books are not available,Negative,Library Facilities
I think number of books are very less according to the students .Only 2-3 copies are available.,Negative,Library Facilities
good,Positive,Library Facilities
Thats good,Positive,Library Facilities
I think stock is not enough more books are required. ,Negative,Library Facilities
very cooperative ,Positive,Library Facilities
Nice,Positive,Library Facilities
Satisfactory,Positive,Library Facilities
Fine ,Positive,Library Facilities
Fine,Positive,Library Facilities
library facilities provided are excellent,Positive,Library Facilities
good facilities,Positive,Library Facilities
average,Neutral,Library Facilities
better,Positive,Library Facilities
excellent,Positive,Library Facilities
some books are not available. So please provide,Negative,Library Facilities
there are doing there job good,Positive,Library Facilities
all are hardworking and punctual,Positive,Library Facilities
library is awesome and rich,Positive,Library Facilities
they are good,Positive,Library Facilities
library facility is good,Positive,Library Facilities
library facilities are good for students.,Positive,Library Facilities
very good library facilities. Issuing time of book must be increased,Positive,Library Facilities
more books should be provided and the issue period should be increased,Negative,Library Facilities
never went there,Neutral,Library Facilities
book issuing time should be increased for 2 weeks,Negative,Library Facilities
Really our library provides very good facilites for students and teachers but fine  system was not good it was directly increased upto 10.This is not a good thing.,Neutral,Library Facilities
Its good and proper design,Positive,Library Facilities
average,Positive,Library Facilities
library contains all the books regarding courses and other materials and very cooperative library staff,Positive,Library Facilities
all the books are easily available and accessable and the limit of book issued need to be increased,Positive,Library Facilities
all are good,Positive,Library Facilities
library facilities are good . Every book is available in the library,Positive,Library Facilities
"as per libraries, few books are not available and in computer library there are hardly 5 PCs working",Negative,Library Facilities
books are less,Negative,Library Facilities
good.,Positive,Library Facilities
i love it,Positive,Library Facilities
i think library facilities are only for hostelers ,Negative,Library Facilities
Capacity of library is less compared to size of university.,Negative,Library Facilities
library has providing excellent facilities,Positive,Library Facilities
It will provide us various books to increase our knowledge or to understand the  concept because it is good,Positive,Library Facilities
duration of issuing   books from library should be changed from 1week to 2 week that would be great.,Negative,Library Facilities
absolutely fine all books are there but the thing is that the time limit is very less we have to return the book that we have issued  very fast,Negative,Library Facilities
i dont think about ,Neutral,Library Facilities
very good,Neutral,Library Facilities
very good.,Positive,Library Facilities
very good,Positive,Library Facilities
It is excellent.,Positive,Library Facilities
GOOD,Positive,Library Facilities
good ,Positive,Library Facilities
library facilities need to be improve by bringing some more books,Negative,Library Facilities
EXELLENT,Positive,Library Facilities
Library facilities are the strength of this university. It is awesome.,Positive,Library Facilities
Almost each and every books is there.But the time limit for keeping book is too much shorted. ,Neutral,Library Facilities
"waste ,library is not the good place to study",Negative,Library Facilities
It's good but we don't find the books because their are much less number of books,Neutral,Library Facilities
perfect,Positive,Library Facilities
They are good.,Positive,Library Facilities
it is very nice and timings of library is good 5/5,Positive,Library Facilities
"good but there is more need of keeping books of general topics about social,polity,gk,...etc other than related to subject so that we will get some knowledge about country related issues..............",Neutral,Library Facilities
Books are heavily outnumbered when compared to number of students this is the only problem with library.,Neutral,Library Facilities
Insufficient books ,Negative,Library Facilities
"I have no words to say about our library facilities,,,,,,,, SIMPLY AWESOME",Positive,Library Facilities
good but timings should be 24hrs,Neutral,Library Facilities
insufficient books,Negative,Library Facilities
"Library facility is very good but there is a problem collection of books, Available books are very less for some subjects  
",Neutral,Library Facilities
good enough.,Positive,Library Facilities
rough handling,Negative,Library Facilities
books are not available,Negative,Library Facilities
librery facilities are excellent,Positive,Library Facilities
Very rough handling,Negative,Library Facilities
library facilites are good,Positive,Library Facilities
yeah quite well but ... some of the books are not available,Neutral,Library Facilities
library facilities is good,Positive,Library Facilities
library facilty is good,Positive,Library Facilities
super,Positive,Library Facilities
"Library facilities are good, it maintains silence there and makes good environment to study but sometimes it goes very strict which is not required according to me.",Positive,Library Facilities
uncertain,Neutral,Library Facilities
I like reading books in Library,Positive,Library Facilities
i felt its better because there is no problem from library facilities,Positive,Library Facilities
Average,Neutral,Library Facilities
Excellent     but sometimes lack of books especially during exam times,Neutral,Library Facilities
libary is giving a lot to us  but we are not getting it,Neutral,Library Facilities
"i've never went to library in lpu.so,i don't know about that.",Neutral,Library Facilities
I don't know abt that bcoz i didn't go to library till now.,Neutral,Library Facilities
facilities are good to overcome one's need,Positive,Library Facilities
Required text books are not available to every student,Negative,Library Facilities
Its good,Positive,Library Facilities
library facilities are excellent...but only limited books are available ..so books should be increased.,Neutral,Library Facilities
The library has insufficent number of books for all the students,Negative,Library Facilities
very good there we can find several course books and we can find several reference books also...,Positive,Library Facilities
"Library is vast and has got wide variety of books But I think more number of specimen copies of books should be made available
",Neutral,Library Facilities
fine  ,Positive,Library Facilities
VERY NICE....BUT BOOKS ARE NOT AVAILABE EVERY TIME,Neutral,Library Facilities
IT IS ALSO GOOD,Positive,Library Facilities
good ,Neutral,Library Facilities
library facilities are not good.They are not following the rules( they are using phones in library).,Negative,Library Facilities
They are good,Positive,Library Facilities
We have a good library with all facalities.,Positive,Library Facilities
"THEY IS NO PROBLEM WITH THEM
",Negative,Library Facilities
extracurricular activities are excellent and provides best platform to students.,Positive,Extra Curricular
Good ,Positive,Extra Curricular
Extra curricular activities also help students to divert their mind from their study for some time. University plays an important role in this task.,Positive,Extra Curricular
Complete wastage of time. Again this opinion is strictly personal and may not coincide with others.,Negative,Extra Curricular
extracurricular activities increases mental and physical abilities,Positive,Extra Curricular
Yes,Positive,Extra Curricular
No views,Neutral,Extra Curricular
No idea about the extracurricular activities. ,Neutral,Extra Curricular
Good it provides a great platform,Positive,Extra Curricular
While coming to extracurriculum activities it's better than any other university which I had come around.,Positive,Extra Curricular
Awesome,Positive,Extra Curricular
ok,Positive,Extra Curricular
This university is no1 in terms of extracurricular activities and in encouraging students to participate at their comfort levels. ,Positive,Extra Curricular
Good,Positive,Extra Curricular
Great job,Positive,Extra Curricular
excellent,Positive,Extra Curricular
Its give various opportunities and exposure,Positive,Extra Curricular
This is really a good thing that events happen in our university regularly but they must be announced early so that every student can prepare themselves for participation because sometimes we get to know about most of the events when they have already been conducted. So announcement must be there.,Neutral,Extra Curricular
Good.,Positive,Extra Curricular
extracurricular activities held in university are necessary it provides student a platform where they can improve and groom them.,Positive,Extra Curricular
They are really very intersting. All the students enjoys alot and get a chance to showcase there talent,Positive,Extra Curricular
its good for refreshment ,Positive,Extra Curricular
"It's appreciable
Students who are having interest in co curricular activities, getting a good platform",Positive,Extra Curricular
All good,Positive,Extra Curricular
Good but lacks audience.....as only participants can see these activities on duty leave basis,Neutral,Extra Curricular
Perfect,Positive,Extra Curricular
All the activities are gud and appropriate for students,Positive,Extra Curricular
very good,Positive,Extra Curricular
"Thats good but the problm is whenever in university the functions like one india, one world are held we are not alowed to go because we have to attend the classes and if we miss the classes we will gona loose the attendence and everyone knows in lpu attendnce is very important. 
Thanx",Neutral,Extra Curricular
Chance to go and enjoy should be given.I think it should be off when any activity like One India is there to go and enjoy.Otherwise everything is good. ,Negative,Extra Curricular
extracurricular activies should be held when there are no classes for the students to attend so that every student can enjoy and participate in the events,Negative,Extra Curricular
they are amazing and help to boost our stamina.,Positive,Extra Curricular
increasing confidence,Positive,Extra Curricular
average,Neutral,Extra Curricular
best,Positive,Extra Curricular
good,Positive,Extra Curricular
extracurricular activities are good.,Positive,Extra Curricular
"good it is, but teachers do not consider the new ones.",Neutral,Extra Curricular
it is good,Positive,Extra Curricular
extracurrcular activities held in university is good.,Positive,Extra Curricular
"super, the extracurricular activities held in university. So that student can show the efforts in other fields.",Positive,Extra Curricular
good and ample number of extracurricular activities take place,Positive,Extra Curricular
they are good but they should give exposure to more students and not the same.,Neutral,Extra Curricular
I donot participate,Neutral,Extra Curricular
all are enough,Positive,Extra Curricular
all activities are good,Positive,Extra Curricular
More than best,Positive,Extra Curricular
Its upto mark and very efficiently held in our university,Positive,Extra Curricular
provides good platform to interested students,Positive,Extra Curricular
no comments. Because when you participiate you get reappear or backlog and no time is given for exam preparation,Negative,Extra Curricular
"the activities are very good but no time is given to students for participation, so its of no use",Negative,Extra Curricular
lot of activities and students get exposure in games.,Positive,Extra Curricular
too many activities are conducted and student get ample amount of opportunities to participate,Positive,Extra Curricular
they are going excellent,Positive,Extra Curricular
not much interested,Neutral,Extra Curricular
Excellent,Positive,Extra Curricular
bcoz of lectures..we don't get time to participate..,Negative,Extra Curricular
Average,Neutral,Extra Curricular
good.,Positive,Extra Curricular
"i also want to participate in that activities but i can't take part in those activities because I'm a day scholar 
",Negative,Extra Curricular
Extracurricular activities are good and provide a  good platform.,Positive,Extra Curricular
It is good ,Positive,Extra Curricular
that's  great,Positive,Extra Curricular
hahahah,Neutral,Extra Curricular
very good it is a good oppurtunities to many students,Positive,Extra Curricular
there are many oppertunities for students .. its all upon students about how they utilize them.,Positive,Extra Curricular
"good
",Positive,Extra Curricular
It is excellent.,Positive,Extra Curricular
Poor,Neutral,Extra Curricular
some of the universities not conducted any extracurricular activities but in our university doing these it is good for our feature ,Positive,Extra Curricular
IT IS VERY MUCH USEFUL AND WE CAN PARTICIPATE IN OUR INTERESTS,Positive,Extra Curricular
excelent,Positive,Extra Curricular
Quite a lot of events are organized and students have a all round growth which is a nice thing.,Positive,Extra Curricular
Activities are not up to the mark as  advertisement.,Negative,Extra Curricular
very well,Positive,Extra Curricular
Excellent ,Positive,Extra Curricular
It's good but we don't get sufficient time for participating in that activities,Neutral,Extra Curricular
unbiased,Positive,Extra Curricular
LPU gives the best opportunity for the students to show their talent.,Positive,Extra Curricular
these are very usefull to students .excellent,Positive,Extra Curricular
"there are lot of extracurricular activites held in university but so many of them are unknown to us ,the problem is there is no such ad's viewed to us
my rating is 3/5",Neutral,Extra Curricular
these are very use full to the sudents forphysical activity and improvement of knowledge,Positive,Extra Curricular
Sometimes study burden is that much that we can not participate in these activities ...there should b one activity complusory for every student like all other courses ,Negative,Extra Curricular
it helps in building up university's reputation.,Positive,Extra Curricular
It was quite great and unique.,Positive,Extra Curricular
EXTRAORDINARY,Positive,Extra Curricular
they are good,Positive,Extra Curricular
it was quite great and unique,Positive,Extra Curricular
Very good,Positive,Extra Curricular
"it is relly awesome,extirdinary and marvellous but no time to attend",Positive,Extra Curricular
nice,Positive,Extra Curricular
that is only good in this university,Positive,Extra Curricular
excellent..... u r the best in providing facilties and etc .. for extra curricular activities,Positive,Extra Curricular
extracurricular activities are also good,Positive,Extra Curricular
university offers alkot of activities which is excellent on their part as students are able to explore themselves,Positive,Extra Curricular
super,Positive,Extra Curricular
Extracurricular activities are good. It helps people to know their talent and build up their skills.,Positive,Extra Curricular
I am really enjoying ,Positive,Extra Curricular
i felt happy because it encourages our talents,Positive,Extra Curricular
Outstanding,Positive,Extra Curricular
better,Positive,Extra Curricular
excellent  simply superb,Positive,Extra Curricular
"before coming to lpu i thought sports were very good n encouraging.but, there are many politics in sports especially in cricket.",Negative,Extra Curricular
not every one is getting opportunities here only recommended students getting.,Negative,Extra Curricular
it seems to me very good since it is a good source of interaction with other and to built a leadership quilities and to overcome our faults.,Positive,Extra Curricular
They are sportive,Positive,Extra Curricular
One of the best things I like about this university. The best of all.,Positive,Extra Curricular
They are extraordinary,Positive,Extra Curricular
extra curricular are so good. university is providing many pathways to many students....apart from education,Positive,Extra Curricular
good they are knowledgebale and helps us interacting with other students,Positive,Extra Curricular
in this university there is lot of events and lot of extra curriclar activities.... ,Positive,Extra Curricular
The best,Positive,Extra Curricular
good..,Positive,Extra Curricular
excllent,Positive,Extra Curricular
VERY HIGH......NEED TO TAKE DOWN SOME ACCITIVTIES ................................NOISE POLLITION IN THE UNIVERSITY  ALWAYS A BIG PROBLEM.,Negative,Extra Curricular
Yes.,Positive,Extra Curricular
VERY GOOD,Positive,Extra Curricular
they all are held in super,Positive,Extra Curricular
the extracurricular activities held in university  are very enjoyable and good,Positive,Extra Curricular
Our university has lot of extracurricular going on and it helps us a lot.,Positive,Extra Curricular
IT IS THE BEST THING IN THIS UNIVERSITY I LIKE IT,Positive,Extra Curricular
